base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
33gg,logreg,4,t6,Logistic_rMTFL,0.593819408427292,0.7529776799119207,0.7533142132373636,0.2026399790869923,"{""tau"": 0.08164151058084203, ""lam"": 0.12548725562759733, ""max_iter"": 1228, ""tol"": 0.0004247412684708355, ""tau_init"": 0.9290102391642937, ""cont_factor"": 0.6433966539974881, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t6,Single_Task,0.6372158844869023,0.7036332699429486,0.7065288520258124,0.2215798938379761,
33gg,logreg,4,t7,ATL_selector,0.5387945269146072,0.8106971153846153,0.8219990648195624,0.1772474239002186,
33gg,logreg,4,t7,Logistic_Dirty,0.5909692613365014,0.7728365384615384,0.7852547430241412,0.1947714856629171,"{""lam1"": 3.82416028310937, ""lam2"": 0.029095654809728935, ""max_iter"": 469, ""tol"": 1.1551462137068486e-05, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t7,Logistic_L21,0.602383158708057,0.776542467948718,0.793723517457504,0.1958111253653061,"{""lam"": 0.0370667348806789, ""max_iter"": 1057, ""tol"": 0.00014036444974631265, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t7,Logistic_rMTFL,0.5626978046193688,0.7985777243589743,0.8100517109524779,0.1837715575228825,"{""tau"": 0.09183447283504846, ""lam"": 0.08622384233338642, ""max_iter"": 1485, ""tol"": 2.196699123063861e-06, ""tau_init"": 0.6087581785515618, ""cont_factor"": 0.5355464521211777, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t7,Single_Task,0.5958078974183826,0.7778445512820512,0.7922714757347815,0.194528003001943,
33gg,logreg,4,t8,ATL_selector,0.5960179169948454,0.7938793879387938,0.7576006025226962,0.182645617317735,
33gg,logreg,4,t8,Logistic_Dirty,0.6038832614897466,0.7784778477847784,0.7462540463601568,0.1950118038191977,"{""lam1"": 0.019670309647955925, ""lam2"": 0.03832511139679301, ""max_iter"": 571, ""tol"": 0.0006022991489717735, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t8,Logistic_L21,0.5931765035759381,0.7795779577957795,0.7461949499802211,0.1929950862617677,"{""lam"": 0.025194799008465173, ""max_iter"": 1230, ""tol"": 0.000672813326479278, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t8,Logistic_rMTFL,0.5794428275852654,0.7902790279027903,0.7600284048225776,0.1859104422644185,"{""tau"": 0.06760510985872031, ""lam"": 0.40982514756485816, ""max_iter"": 1249, ""tol"": 5.963021865641727e-05, ""tau_init"": 0.4082579032299237, ""cont_factor"": 0.6093776153101377, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t8,Single_Task,0.6006196198268231,0.7760776077607761,0.7429833047469476,0.1945438705208209,
3clusters_3outliers,logreg,4,t0,ATL_selector,0.5833358628084947,0.7599839855870284,0.7823169994156374,0.1984968584612016,
3clusters_3outliers,logreg,4,t0,Logistic_Dirty,0.5884391701852031,0.763887498748874,0.7938113703668854,0.2000448709045311,"{""lam1"": 0.07742000357006754, ""lam2"": 0.028882397303527485, ""max_iter"": 825, ""tol"": 4.591775884838806e-05, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t0,Logistic_L21,0.5868432597907733,0.7652887598838953,0.7938115714036768,0.2000678560914864,"{""lam"": 0.07906008924872035, ""max_iter"": 1261, ""tol"": 4.979021117207766e-05, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t0,Logistic_rMTFL,0.5803418748809431,0.772495245721149,0.8050562179738046,0.1976465894726703,"{""tau"": 0.11353927637652514, ""lam"": 1.9196093792428885, ""max_iter"": 860, ""tol"": 5.846704346389044e-05, ""tau_init"": 0.5274588290569336, ""cont_factor"": 0.5347522770789864, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t0,Single_Task,0.5976019352471683,0.7562806525873286,0.7905881280968083,0.2049559705220403,
3clusters_3outliers,logreg,4,t1,ATL_selector,0.5978634903149661,0.7568922305764412,0.7365334680878363,0.2022196038429518,
3clusters_3outliers,logreg,4,t1,Logistic_Dirty,0.6679006816530013,0.6817042606516291,0.6900182323248831,0.232418631422859,"{""lam1"": 0.07594126472495148, ""lam2"": 2.0551304304701787, ""max_iter"": 940, ""tol"": 0.0001630882375773827, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t1,Logistic_L21,0.6657218497330555,0.6811027568922308,0.6895057277401133,0.2318832225504589,"{""lam"": 0.08109802236005466, ""max_iter"": 400, ""tol"": 0.0003641526610446022, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t1,Logistic_rMTFL,0.6388207534513933,0.7040601503759398,0.7088325219099268,0.2216299398563312,"{""tau"": 0.11872322431632915, ""lam"": 0.13375624887570417, ""max_iter"": 1563, ""tol"": 9.095050190478233e-05, ""tau_init"": 1.7594166321286295, ""cont_factor"": 0.7031994323834431, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t1,Single_Task,0.6610234979161718,0.6846115288220552,0.689397063930247,0.2304772051756459,
